Partida Presupuestaria,Código,Nombre del Proyecto,Dirección Responsable,Objeto de contratación,Tipo de Contratación,Tipo de Presupuesto,Monto Presupuestado,Monto Contratado,Monto devengado,Etapa Actual,Fecha de inicio,Fecha límite,Observaciones,Evidencias
84.01.03,3812200413,"ADQUISICIÓN DE MOBILIARIO  CATALOGADO PARA LA DIRECCIÓN DE GESTIÓN DE PLANIFICACIÓN, HÁBITAT Y DESARROLLO ","GESTIÓN DE PLANIFICACIÓN, HABITAT Y DESARROLLO URBANÍSTICO ",BIEN,CATÁLOGO ELECTRÓNICO ,GASTO DE CAPITAL,14852.23,0,0,NO EMPIEZA EL PROCESO,,,,
84.01.07,4523000856,"ADQUISICIÓN DE EQUIPOS INFORMÁTICOS PARA LA DIRECCIÓN DE GESTIÓN DE PLANIFICACIÓN, HÁBITAT Y DESARROLLO ","GESTIÓN DE PLANIFICACIÓN, HABITAT Y DESARROLLO URBANÍSTICO ",BIEN,SUBASTA INVERSA ELECTRÓNICA ,GASTO DE CAPITAL,33894.24,0,0,NO EMPIEZA EL PROCESO,,,,
84.01.04,452300063,"ADQUISICIÓN DE GAFAS DE REALIDAD VIRTUAL PARA LA DIRECCIÓN DE GESTIÓN DE PLANIFICACIÓN, HÁBITAT Y DESARROLLO ","GESTIÓN DE PLANIFICACIÓN, HABITAT Y DESARROLLO URBANÍSTICO ",BIEN,ÍNFIMA CUANTÍA ,GASTO DE CAPITAL,2000.00,0,0,NO EMPIEZA EL PROCESO,,,,
53.07.04,841600111,"MANTENIMIENTO DE EQUIPO INFORMÁTICO PARA LA DIRECCIÓN DE GESTIÓN DE PLANIFICACIÓN, HÁBITAT Y DESARROLLO","GESTIÓN DE PLANIFICACIÓN, HABITAT Y DESARROLLO URBANÍSTICO ",SERVICIO,ÍNFIMA CUANTÍA ,GASTO CORRIENTE,10000.00,0,0,NO EMPIEZA EL PROCESO,,,,
